"sg_uf","week","age_clas","hosp","freq"
"AC",2020-03-14,"age_20_39",1,0.5
"AC",2020-03-14,"age_60_79",1,0.5
"AC",2020-03-21,"age_20_39",2,1
"AC",2020-03-28,"age_60_79",2,1
"AC",2020-04-04,"age_0_19",1,0.111111111111111
"AC",2020-04-04,"age_20_39",2,0.222222222222222
"AC",2020-04-04,"age_40_59",2,0.222222222222222
"AC",2020-04-04,"age_60_79",3,0.333333333333333
"AC",2020-04-04,"age_80",1,0.111111111111111
"AC",2020-04-11,"age_20_39",4,0.25
"AC",2020-04-11,"age_40_59",8,0.5
"AC",2020-04-11,"age_60_79",2,0.125
"AC",2020-04-11,"age_80",2,0.125
"AC",2020-04-18,"age_20_39",4,0.235294117647059
"AC",2020-04-18,"age_40_59",7,0.411764705882353
"AC",2020-04-18,"age_60_79",5,0.294117647058824
"AC",2020-04-18,"age_80",1,0.0588235294117647
"AC",2020-04-25,"age_0_19",1,0.0357142857142857
"AC",2020-04-25,"age_20_39",6,0.214285714285714
"AC",2020-04-25,"age_40_59",12,0.428571428571429
"AC",2020-04-25,"age_60_79",6,0.214285714285714
"AC",2020-04-25,"age_80",3,0.107142857142857
"AC",2020-05-02,"age_0_19",2,0.0571428571428571
"AC",2020-05-02,"age_20_39",8,0.228571428571429
"AC",2020-05-02,"age_40_59",11,0.314285714285714
"AC",2020-05-02,"age_60_79",12,0.342857142857143
"AC",2020-05-02,"age_80",2,0.0571428571428571
"AC",2020-05-09,"age_20_39",13,0.206349206349206
"AC",2020-05-09,"age_40_59",24,0.380952380952381
"AC",2020-05-09,"age_60_79",22,0.349206349206349
"AC",2020-05-09,"age_80",4,0.0634920634920635
"AC",2020-05-16,"age_0_19",1,0.0101010101010101
"AC",2020-05-16,"age_20_39",18,0.181818181818182
"AC",2020-05-16,"age_40_59",24,0.242424242424242
"AC",2020-05-16,"age_60_79",43,0.434343434343434
"AC",2020-05-16,"age_80",13,0.131313131313131
"AC",2020-05-23,"age_0_19",2,0.025974025974026
"AC",2020-05-23,"age_20_39",16,0.207792207792208
"AC",2020-05-23,"age_40_59",30,0.38961038961039
"AC",2020-05-23,"age_60_79",20,0.25974025974026
"AC",2020-05-23,"age_80",9,0.116883116883117
"AC",2020-05-30,"age_0_19",1,0.015625
"AC",2020-05-30,"age_20_39",6,0.09375
"AC",2020-05-30,"age_40_59",12,0.1875
"AC",2020-05-30,"age_60_79",37,0.578125
"AC",2020-05-30,"age_80",8,0.125
"AC",2020-06-06,"age_0_19",2,0.0238095238095238
"AC",2020-06-06,"age_20_39",8,0.0952380952380952
"AC",2020-06-06,"age_40_59",29,0.345238095238095
"AC",2020-06-06,"age_60_79",36,0.428571428571429
"AC",2020-06-06,"age_80",9,0.107142857142857
