"week","age_clas","sg_uf","sobre","obitos","let_obs"
2020-01-04,"age_0_19","AM",4,0,0
2020-01-04,"age_0_19","BA",7,0,0
2020-01-04,"age_0_19","CE",10,0,0
2020-01-04,"age_0_19","DF",14,0,0
2020-01-04,"age_0_19","ES",1,0,0
2020-01-04,"age_0_19","GO",11,0,0
2020-01-04,"age_0_19","MA",1,0,0
2020-01-04,"age_0_19","MG",5,1,0.166666666666667
2020-01-04,"age_0_19","MS",2,0,0
2020-01-04,"age_0_19","PA",4,0,0
2020-01-04,"age_0_19","PE",8,1,0.111111111111111
2020-01-04,"age_0_19","PI",4,0,0
2020-01-04,"age_0_19","PR",30,3,0.0909090909090909
2020-01-04,"age_0_19","RJ",11,1,0.0833333333333333
2020-01-04,"age_0_19","RN",1,0,0
2020-01-04,"age_0_19","RS",14,1,0.0666666666666667
2020-01-04,"age_0_19","SC",5,1,0.166666666666667
2020-01-04,"age_0_19","SE",1,0,0
2020-01-04,"age_0_19","SP",53,3,0.0535714285714286
2020-01-04,"age_0_19","TO",1,0,0
2020-01-04,"age_20_39","AM",2,2,0.5
2020-01-04,"age_20_39","BA",4,0,0
2020-01-04,"age_20_39","CE",1,1,0.5
2020-01-04,"age_20_39","ES",2,0,0
2020-01-04,"age_20_39","GO",1,0,0
2020-01-04,"age_20_39","MA",2,1,0.333333333333333
2020-01-04,"age_20_39","MG",8,1,0.111111111111111
2020-01-04,"age_20_39","MS",3,0,0
2020-01-04,"age_20_39","PI",1,0,0
2020-01-04,"age_20_39","PR",5,0,0
2020-01-04,"age_20_39","RJ",1,0,0
2020-01-04,"age_20_39","RS",3,0,0
2020-01-04,"age_20_39","SP",14,2,0.125
2020-01-04,"age_20_39","TO",1,0,0
2020-01-04,"age_40_59","AM",2,1,0.333333333333333
2020-01-04,"age_40_59","BA",1,0,0
2020-01-04,"age_40_59","DF",1,0,0
2020-01-04,"age_40_59","GO",3,0,0
2020-01-04,"age_40_59","MA",1,0,0
2020-01-04,"age_40_59","MG",6,3,0.333333333333333
2020-01-04,"age_40_59","MS",2,0,0
2020-01-04,"age_40_59","MT",0,1,1
2020-01-04,"age_40_59","PA",2,0,0
2020-01-04,"age_40_59","PE",0,1,1
2020-01-04,"age_40_59","PR",4,2,0.333333333333333
2020-01-04,"age_40_59","RJ",1,0,0
2020-01-04,"age_40_59","RS",0,1,1
2020-01-04,"age_40_59","SP",14,3,0.176470588235294
2020-01-04,"age_40_59","TO",2,0,0
2020-01-04,"age_60_79","AC",1,1,0.5
2020-01-04,"age_60_79","DF",2,0,0
2020-01-04,"age_60_79","ES",1,0,0
2020-01-04,"age_60_79","GO",0,3,1
2020-01-04,"age_60_79","MG",12,2,0.142857142857143
2020-01-04,"age_60_79","PA",2,1,0.333333333333333
2020-01-04,"age_60_79","PE",0,2,1
2020-01-04,"age_60_79","PR",3,2,0.4
2020-01-04,"age_60_79","RJ",4,2,0.333333333333333
2020-01-04,"age_60_79","RO",0,1,1
2020-01-04,"age_60_79","RS",3,3,0.5
2020-01-04,"age_60_79","SC",1,0,0
2020-01-04,"age_60_79","SP",7,4,0.363636363636364
2020-01-04,"age_80","AM",0,1,1
2020-01-04,"age_80","BA",1,1,0.5
2020-01-04,"age_80","DF",0,1,1
2020-01-04,"age_80","ES",1,0,0
2020-01-04,"age_80","MG",10,1,0.0909090909090909
2020-01-04,"age_80","PA",1,0,0
2020-01-04,"age_80","RO",0,3,1
2020-01-04,"age_80","RS",1,1,0.5
2020-01-04,"age_80","SC",1,0,0
2020-01-04,"age_80","SP",9,2,0.181818181818182
2020-01-11,"age_0_19","AL",1,0,0
2020-01-11,"age_0_19","AM",8,1,0.111111111111111
2020-01-11,"age_0_19","BA",9,1,0.1
2020-01-11,"age_0_19","CE",10,2,0.166666666666667
