"week","age_clas","sg_uf","sobre","obitos","let_obs"
1,"age_0_19","AM",4,0,0
1,"age_0_19","BA",6,0,0
1,"age_0_19","CE",8,0,0
1,"age_0_19","DF",13,0,0
1,"age_0_19","ES",1,0,0
1,"age_0_19","GO",11,0,0
1,"age_0_19","MA",1,0,0
1,"age_0_19","MG",4,1,0.2
1,"age_0_19","MS",2,0,0
1,"age_0_19","PA",4,0,0
1,"age_0_19","PE",7,1,0.125
1,"age_0_19","PI",4,0,0
1,"age_0_19","PR",29,3,0.09375
1,"age_0_19","RJ",9,1,0.1
1,"age_0_19","RS",13,1,0.0714285714285714
1,"age_0_19","SC",5,1,0.166666666666667
1,"age_0_19","SE",1,0,0
1,"age_0_19","SP",52,3,0.0545454545454545
1,"age_0_19","TO",1,0,0
1,"age_20_39","AM",2,2,0.5
1,"age_20_39","BA",3,0,0
1,"age_20_39","CE",1,1,0.5
1,"age_20_39","ES",2,0,0
1,"age_20_39","GO",1,0,0
1,"age_20_39","MA",2,0,0
1,"age_20_39","MG",8,1,0.111111111111111
1,"age_20_39","MS",3,0,0
1,"age_20_39","PI",1,0,0
1,"age_20_39","PR",4,0,0
1,"age_20_39","RJ",1,0,0
1,"age_20_39","RS",3,0,0
1,"age_20_39","SP",15,2,0.117647058823529
1,"age_20_39","TO",1,0,0
1,"age_40_59","AM",2,0,0
1,"age_40_59","BA",1,0,0
1,"age_40_59","DF",1,0,0
1,"age_40_59","GO",2,0,0
1,"age_40_59","MA",1,0,0
1,"age_40_59","MG",5,2,0.285714285714286
1,"age_40_59","MS",2,0,0
1,"age_40_59","MT",0,1,1
1,"age_40_59","PA",2,0,0
1,"age_40_59","PE",0,1,1
1,"age_40_59","PR",2,2,0.5
1,"age_40_59","RJ",1,0,0
1,"age_40_59","RS",1,0,0
1,"age_40_59","SC",0,1,1
1,"age_40_59","SP",11,3,0.214285714285714
1,"age_40_59","TO",2,0,0
1,"age_60","AC",1,0,0
1,"age_60","AM",0,1,1
1,"age_60","BA",0,1,1
1,"age_60","DF",2,0,0
1,"age_60","ES",2,0,0
1,"age_60","GO",0,1,1
1,"age_60","MG",21,3,0.125
1,"age_60","PA",2,0,0
1,"age_60","PR",3,3,0.5
1,"age_60","RJ",3,0,0
1,"age_60","RO",0,4,1
1,"age_60","RS",4,3,0.428571428571429
1,"age_60","SC",2,0,0
1,"age_60","SP",13,6,0.315789473684211
2,"age_0_19","AL",1,0,0
2,"age_0_19","AM",8,1,0.111111111111111
2,"age_0_19","BA",9,0,0
2,"age_0_19","CE",10,2,0.166666666666667
2,"age_0_19","DF",15,0,0
2,"age_0_19","ES",3,0,0
2,"age_0_19","GO",6,2,0.25
2,"age_0_19","MA",1,1,0.5
2,"age_0_19","MG",4,1,0.2
2,"age_0_19","MS",3,0,0
2,"age_0_19","PA",3,1,0.25
2,"age_0_19","PB",1,0,0
2,"age_0_19","PE",10,0,0
2,"age_0_19","PI",2,1,0.333333333333333
2,"age_0_19","PR",16,0,0
2,"age_0_19","RJ",11,0,0
2,"age_0_19","RR",1,0,0
2,"age_0_19","RS",14,1,0.0666666666666667
2,"age_0_19","SC",3,0,0
2,"age_0_19","SP",50,0,0
2,"age_0_19","TO",1,0,0
2,"age_20_39","AL",1,0,0
2,"age_20_39","AM",3,0,0
2,"age_20_39","DF",1,1,0.5
2,"age_20_39","ES",0,1,1
2,"age_20_39","GO",3,0,0
2,"age_20_39","MG",4,1,0.2
2,"age_20_39","MS",2,0,0
2,"age_20_39","MT",1,0,0
2,"age_20_39","PA",2,0,0
2,"age_20_39","PR",5,1,0.166666666666667
