"week","age_clas","sg_uf","sobre","obitos","let_obs"
1,"age_0_19","AL",5,0,0
1,"age_0_19","AM",37,5,0.119047619047619
1,"age_0_19","AP",14,0,0
1,"age_0_19","BA",11,2,0.153846153846154
1,"age_0_19","CE",19,4,0.173913043478261
1,"age_0_19","DF",1,0,0
1,"age_0_19","GO",5,0,0
1,"age_0_19","MA",1,1,0.5
1,"age_0_19","MG",23,2,0.08
1,"age_0_19","MS",2,0,0
1,"age_0_19","MT",5,0,0
1,"age_0_19","PA",14,2,0.125
1,"age_0_19","PB",3,0,0
1,"age_0_19","PE",1,0,0
1,"age_0_19","PI",2,0,0
1,"age_0_19","PR",15,3,0.166666666666667
1,"age_0_19","RJ",25,1,0.0384615384615385
1,"age_0_19","RN",2,0,0
1,"age_0_19","RO",3,1,0.25
1,"age_0_19","RS",10,0,0
1,"age_0_19","SC",13,0,0
1,"age_0_19","SE",2,2,0.5
1,"age_0_19","SP",62,3,0.0461538461538462
1,"age_0_19","TO",3,1,0.25
1,"age_20_39","AC",6,0,0
1,"age_20_39","AL",14,3,0.176470588235294
1,"age_20_39","AM",194,88,0.312056737588652
1,"age_20_39","AP",7,1,0.125
1,"age_20_39","BA",58,10,0.147058823529412
1,"age_20_39","CE",31,11,0.261904761904762
1,"age_20_39","DF",29,0,0
1,"age_20_39","ES",6,4,0.4
1,"age_20_39","GO",68,6,0.0810810810810811
1,"age_20_39","MA",7,2,0.222222222222222
1,"age_20_39","MG",191,19,0.0904761904761905
1,"age_20_39","MS",27,3,0.1
1,"age_20_39","MT",35,3,0.0789473684210526
1,"age_20_39","PA",45,8,0.150943396226415
1,"age_20_39","PB",22,0,0
1,"age_20_39","PE",6,2,0.25
1,"age_20_39","PI",7,1,0.125
1,"age_20_39","PR",111,14,0.112
1,"age_20_39","RJ",87,18,0.171428571428571
1,"age_20_39","RN",15,3,0.166666666666667
1,"age_20_39","RO",12,6,0.333333333333333
1,"age_20_39","RR",10,3,0.230769230769231
1,"age_20_39","RS",74,10,0.119047619047619
1,"age_20_39","SC",65,6,0.0845070422535211
1,"age_20_39","SE",5,3,0.375
1,"age_20_39","SP",552,68,0.109677419354839
1,"age_20_39","TO",4,1,0.2
1,"age_40_59","AC",20,4,0.166666666666667
1,"age_40_59","AL",37,8,0.177777777777778
1,"age_40_59","AM",359,293,0.449386503067485
1,"age_40_59","AP",13,4,0.235294117647059
1,"age_40_59","BA",152,32,0.173913043478261
1,"age_40_59","CE",57,26,0.313253012048193
1,"age_40_59","DF",90,7,0.0721649484536082
1,"age_40_59","ES",12,12,0.5
1,"age_40_59","GO",164,34,0.171717171717172
1,"age_40_59","MA",18,5,0.217391304347826
1,"age_40_59","MG",549,128,0.189069423929099
1,"age_40_59","MS",83,22,0.20952380952381
1,"age_40_59","MT",89,12,0.118811881188119
1,"age_40_59","PA",83,38,0.31404958677686
1,"age_40_59","PB",52,18,0.257142857142857
1,"age_40_59","PE",43,32,0.426666666666667
1,"age_40_59","PI",13,8,0.380952380952381
1,"age_40_59","PR",379,66,0.148314606741573
1,"age_40_59","RJ",240,102,0.298245614035088
1,"age_40_59","RN",32,8,0.2
1,"age_40_59","RO",42,26,0.382352941176471
1,"age_40_59","RR",9,4,0.307692307692308
1,"age_40_59","RS",218,54,0.198529411764706
1,"age_40_59","SC",171,33,0.161764705882353
1,"age_40_59","SE",14,12,0.461538461538462
1,"age_40_59","SP",1529,316,0.171273712737127
1,"age_40_59","TO",11,9,0.45
1,"age_40_59",NA,0,1,1
1,"age_60","AC",10,8,0.444444444444444
1,"age_60","AL",61,37,0.377551020408163
1,"age_60","AM",262,551,0.677736777367774
1,"age_60","AP",18,13,0.419354838709677
1,"age_60","BA",223,186,0.454767726161369
1,"age_60","CE",105,96,0.477611940298507
1,"age_60","DF",81,48,0.372093023255814
1,"age_60","ES",24,52,0.684210526315789
1,"age_60","GO",150,126,0.456521739130435
1,"age_60","MA",28,19,0.404255319148936
1,"age_60","MG",836,722,0.463414634146341
1,"age_60","MS",93,83,0.471590909090909
1,"age_60","MT",99,44,0.307692307692308
1,"age_60","PA",113,140,0.553359683794466
1,"age_60","PB",72,71,0.496503496503497
1,"age_60","PE",56,92,0.621621621621622
1,"age_60","PI",34,26,0.433333333333333
1,"age_60","PR",464,315,0.404364569961489
1,"age_60","RJ",405,583,0.590080971659919
1,"age_60","RN",41,45,0.523255813953488
1,"age_60","RO",23,63,0.732558139534884
1,"age_60","RR",19,12,0.387096774193548
1,"age_60","RS",435,272,0.384724186704385
1,"age_60","SC",251,180,0.417633410672854
1,"age_60","SE",18,37,0.672727272727273
1,"age_60","SP",2075,1475,0.415492957746479
1,"age_60","TO",18,25,0.581395348837209
1,"age_60",NA,1,1,0.5
2,"age_0_19","AL",3,1,0.25
2,"age_0_19","AM",26,9,0.257142857142857
2,"age_0_19","AP",10,1,0.0909090909090909
2,"age_0_19","BA",12,1,0.0769230769230769
2,"age_0_19","CE",10,4,0.285714285714286
2,"age_0_19","DF",4,0,0
2,"age_0_19","ES",1,0,0
2,"age_0_19","GO",2,1,0.333333333333333
2,"age_0_19","MA",4,0,0
2,"age_0_19","MG",20,0,0
2,"age_0_19","MS",2,0,0
2,"age_0_19","MT",6,0,0
2,"age_0_19","PA",17,2,0.105263157894737
2,"age_0_19","PB",1,0,0
2,"age_0_19","PE",2,0,0
2,"age_0_19","PR",15,1,0.0625
2,"age_0_19","RJ",23,2,0.08
2,"age_0_19","RN",2,1,0.333333333333333
2,"age_0_19","RO",1,0,0
2,"age_0_19","RR",1,0,0
2,"age_0_19","RS",13,0,0
2,"age_0_19","SC",1,2,0.666666666666667
2,"age_0_19","SE",4,1,0.2
2,"age_0_19","SP",73,5,0.0641025641025641
2,"age_20_39","AC",10,1,0.0909090909090909
2,"age_20_39","AL",19,2,0.0952380952380952
2,"age_20_39","AM",162,72,0.307692307692308
2,"age_20_39","AP",6,1,0.142857142857143
2,"age_20_39","BA",44,4,0.0833333333333333
2,"age_20_39","CE",40,7,0.148936170212766
2,"age_20_39","DF",18,2,0.1
2,"age_20_39","ES",3,1,0.25
2,"age_20_39","GO",62,12,0.162162162162162
2,"age_20_39","MA",13,5,0.277777777777778
2,"age_20_39","MG",149,26,0.148571428571429
2,"age_20_39","MS",27,5,0.15625
2,"age_20_39","MT",43,1,0.0227272727272727
2,"age_20_39","PA",45,10,0.181818181818182
2,"age_20_39","PB",20,4,0.166666666666667
2,"age_20_39","PE",8,0,0
2,"age_20_39","PI",4,1,0.2
2,"age_20_39","PR",108,7,0.0608695652173913
2,"age_20_39","RJ",48,16,0.25
2,"age_20_39","RN",15,4,0.210526315789474
2,"age_20_39","RO",20,8,0.285714285714286
2,"age_20_39","RR",6,5,0.454545454545455
2,"age_20_39","RS",72,9,0.111111111111111
2,"age_20_39","SC",58,5,0.0793650793650794
2,"age_20_39","SE",9,4,0.307692307692308
2,"age_20_39","SP",467,71,0.131970260223048
2,"age_20_39","TO",3,1,0.25
2,"age_20_39",NA,1,0,0
2,"age_40_59","AC",23,4,0.148148148148148
2,"age_40_59","AL",31,11,0.261904761904762
2,"age_40_59","AM",394,310,0.440340909090909
2,"age_40_59","AP",16,0,0
2,"age_40_59","BA",113,43,0.275641025641026
2,"age_40_59","CE",73,32,0.304761904761905
2,"age_40_59","DF",66,8,0.108108108108108
2,"age_40_59","ES",13,3,0.1875
2,"age_40_59","GO",175,42,0.193548387096774
2,"age_40_59","MA",15,13,0.464285714285714
2,"age_40_59","MG",497,118,0.191869918699187
2,"age_40_59","MS",66,16,0.195121951219512
2,"age_40_59","MT",65,19,0.226190476190476
2,"age_40_59","PA",110,38,0.256756756756757
2,"age_40_59","PB",47,14,0.229508196721311
