"sg_uf","week","age_clas","hosp","freq"
"AC",2020-01-04,"age_60_79",2,1
"AC",2020-01-11,"age_40_59",1,0.333333333333333
"AC",2020-01-11,"age_60_79",1,0.333333333333333
"AC",2020-01-11,"age_80",1,0.333333333333333
"AC",2020-01-18,"age_0_19",1,0.5
"AC",2020-01-18,"age_80",1,0.5
"AC",2020-01-25,"age_60_79",2,1
"AC",2020-02-01,"age_0_19",1,0.333333333333333
"AC",2020-02-01,"age_20_39",1,0.333333333333333
"AC",2020-02-01,"age_60_79",1,0.333333333333333
"AC",2020-02-08,"age_0_19",1,0.2
"AC",2020-02-08,"age_40_59",2,0.4
"AC",2020-02-08,"age_60_79",2,0.4
"AC",2020-02-15,"age_60_79",3,1
"AC",2020-02-22,"age_0_19",1,0.25
"AC",2020-02-22,"age_20_39",2,0.5
"AC",2020-02-22,"age_80",1,0.25
"AC",2020-02-29,"age_0_19",1,0.25
"AC",2020-02-29,"age_40_59",2,0.5
"AC",2020-02-29,"age_60_79",1,0.25
"AC",2020-03-07,"age_0_19",4,0.571428571428571
"AC",2020-03-07,"age_20_39",1,0.142857142857143
"AC",2020-03-07,"age_40_59",1,0.142857142857143
"AC",2020-03-07,"age_60_79",1,0.142857142857143
"AC",2020-03-14,"age_0_19",1,0.166666666666667
"AC",2020-03-14,"age_20_39",1,0.166666666666667
"AC",2020-03-14,"age_40_59",1,0.166666666666667
"AC",2020-03-14,"age_60_79",3,0.5
"AC",2020-03-21,"age_0_19",1,0.0833333333333333
"AC",2020-03-21,"age_20_39",4,0.333333333333333
"AC",2020-03-21,"age_40_59",3,0.25
"AC",2020-03-21,"age_60_79",3,0.25
"AC",2020-03-21,"age_80",1,0.0833333333333333
"AC",2020-03-28,"age_0_19",4,0.173913043478261
"AC",2020-03-28,"age_20_39",4,0.173913043478261
"AC",2020-03-28,"age_40_59",5,0.217391304347826
"AC",2020-03-28,"age_60_79",8,0.347826086956522
"AC",2020-03-28,"age_80",2,0.0869565217391304
"AC",2020-04-04,"age_0_19",5,0.142857142857143
"AC",2020-04-04,"age_20_39",5,0.142857142857143
"AC",2020-04-04,"age_40_59",13,0.371428571428571
"AC",2020-04-04,"age_60_79",9,0.257142857142857
"AC",2020-04-04,"age_80",3,0.0857142857142857
"AC",2020-04-11,"age_0_19",4,0.0634920634920635
"AC",2020-04-11,"age_20_39",16,0.253968253968254
"AC",2020-04-11,"age_40_59",20,0.317460317460317
"AC",2020-04-11,"age_60_79",16,0.253968253968254
"AC",2020-04-11,"age_80",7,0.111111111111111
"AC",2020-04-18,"age_0_19",2,0.0289855072463768
"AC",2020-04-18,"age_20_39",12,0.173913043478261
"AC",2020-04-18,"age_40_59",29,0.420289855072464
"AC",2020-04-18,"age_60_79",18,0.260869565217391
"AC",2020-04-18,"age_80",8,0.115942028985507
"AC",2020-04-25,"age_0_19",9,0.116883116883117
"AC",2020-04-25,"age_20_39",14,0.181818181818182
"AC",2020-04-25,"age_40_59",24,0.311688311688312
"AC",2020-04-25,"age_60_79",19,0.246753246753247
"AC",2020-04-25,"age_80",11,0.142857142857143
"AC",2020-05-02,"age_0_19",4,0.0615384615384615
"AC",2020-05-02,"age_20_39",14,0.215384615384615
"AC",2020-05-02,"age_40_59",17,0.261538461538462
"AC",2020-05-02,"age_60_79",24,0.369230769230769
"AC",2020-05-02,"age_80",6,0.0923076923076923
"AC",2020-05-09,"age_0_19",2,0.0229885057471264
"AC",2020-05-09,"age_20_39",16,0.183908045977011
"AC",2020-05-09,"age_40_59",33,0.379310344827586
"AC",2020-05-09,"age_60_79",31,0.35632183908046
"AC",2020-05-09,"age_80",5,0.0574712643678161
"AC",2020-05-16,"age_0_19",3,0.0241935483870968
"AC",2020-05-16,"age_20_39",19,0.153225806451613
"AC",2020-05-16,"age_40_59",37,0.298387096774194
"AC",2020-05-16,"age_60_79",49,0.395161290322581
