"sg_uf","week","age_clas","hosp","freq"
"AC","2020-03-14","age_20_39",1,0.5
"AC","2020-03-14","age_60_75",1,0.5
"AC","2020-03-21","age_20_39",2,0.666666666666667
"AC","2020-03-21","age_75",1,0.333333333333333
"AC","2020-03-28","age_75",1,1
"AC","2020-04-04","age_0_19",1,0.111111111111111
"AC","2020-04-04","age_20_39",2,0.222222222222222
"AC","2020-04-04","age_40_59",2,0.222222222222222
"AC","2020-04-04","age_60_75",2,0.222222222222222
"AC","2020-04-04","age_75",2,0.222222222222222
"AC","2020-04-11","age_20_39",4,0.25
"AC","2020-04-11","age_40_59",8,0.5
"AC","2020-04-11","age_60_75",2,0.125
"AC","2020-04-11","age_75",2,0.125
"AC","2020-04-18","age_20_39",4,0.235294117647059
"AC","2020-04-18","age_40_59",7,0.411764705882353
"AC","2020-04-18","age_60_75",5,0.294117647058824
"AC","2020-04-18","age_75",1,0.0588235294117647
"AC","2020-04-25","age_0_19",1,0.0357142857142857
"AC","2020-04-25","age_20_39",6,0.214285714285714
"AC","2020-04-25","age_40_59",12,0.428571428571429
"AC","2020-04-25","age_60_75",4,0.142857142857143
"AC","2020-04-25","age_75",5,0.178571428571429
"AC","2020-05-02","age_0_19",2,0.0571428571428571
"AC","2020-05-02","age_20_39",8,0.228571428571429
"AC","2020-05-02","age_40_59",11,0.314285714285714
"AC","2020-05-02","age_60_75",12,0.342857142857143
"AC","2020-05-02","age_75",2,0.0571428571428571
"AC","2020-05-09","age_20_39",13,0.209677419354839
"AC","2020-05-09","age_40_59",23,0.370967741935484
"AC","2020-05-09","age_60_75",15,0.241935483870968
"AC","2020-05-09","age_75",11,0.17741935483871
"AC","2020-05-16","age_0_19",1,0.0101010101010101
"AC","2020-05-16","age_20_39",18,0.181818181818182
"AC","2020-05-16","age_40_59",24,0.242424242424242
"AC","2020-05-16","age_60_75",35,0.353535353535354
"AC","2020-05-16","age_75",21,0.212121212121212
"AC","2020-05-23","age_0_19",2,0.0266666666666667
"AC","2020-05-23","age_20_39",15,0.2
"AC","2020-05-23","age_40_59",29,0.386666666666667
"AC","2020-05-23","age_60_75",15,0.2
"AC","2020-05-23","age_75",14,0.186666666666667
"AC","2020-05-30","age_0_19",1,0.0158730158730159
"AC","2020-05-30","age_20_39",6,0.0952380952380952
"AC","2020-05-30","age_40_59",12,0.19047619047619
"AC","2020-05-30","age_60_75",26,0.412698412698413
"AC","2020-05-30","age_75",18,0.285714285714286
"AC","2020-06-06","age_0_19",2,0.0238095238095238
"AC","2020-06-06","age_20_39",8,0.0952380952380952
"AC","2020-06-06","age_40_59",29,0.345238095238095
"AC","2020-06-06","age_60_75",31,0.369047619047619
"AC","2020-06-06","age_75",14,0.166666666666667
"AC","2020-06-13","age_20_39",9,0.160714285714286
"AC","2020-06-13","age_40_59",21,0.375
"AC","2020-06-13","age_60_75",14,0.25
"AC","2020-06-13","age_75",12,0.214285714285714
"AC","2020-06-20","age_20_39",11,0.207547169811321
"AC","2020-06-20","age_40_59",20,0.377358490566038
"AC","2020-06-20","age_60_75",15,0.283018867924528
"AC","2020-06-20","age_75",7,0.132075471698113
"AC","2020-06-27","age_0_19",1,0.0192307692307692
"AC","2020-06-27","age_20_39",6,0.115384615384615
"AC","2020-06-27","age_40_59",21,0.403846153846154
"AC","2020-06-27","age_60_75",17,0.326923076923077
"AC","2020-06-27","age_75",7,0.134615384615385
"AC","2020-07-04","age_0_19",1,0.0178571428571429
"AC","2020-07-04","age_20_39",6,0.107142857142857
"AC","2020-07-04","age_40_59",20,0.357142857142857
"AC","2020-07-04","age_60_75",15,0.267857142857143
"AC","2020-07-04","age_75",14,0.25
"AC","2020-07-11","age_0_19",1,0.0192307692307692
"AC","2020-07-11","age_20_39",5,0.0961538461538462
"AC","2020-07-11","age_40_59",19,0.365384615384615
"AC","2020-07-11","age_60_75",16,0.307692307692308
"AC","2020-07-11","age_75",11,0.211538461538462
"AC","2020-07-18","age_0_19",1,0.0277777777777778
"AC","2020-07-18","age_20_39",4,0.111111111111111
"AC","2020-07-18","age_40_59",17,0.472222222222222
"AC","2020-07-18","age_60_75",5,0.138888888888889
"AC","2020-07-18","age_75",9,0.25
"AC","2020-07-25","age_0_19",2,0.0416666666666667
"AC","2020-07-25","age_20_39",6,0.125
"AC","2020-07-25","age_40_59",15,0.3125
"AC","2020-07-25","age_60_75",17,0.354166666666667
"AC","2020-07-25","age_75",8,0.166666666666667
"AC","2020-08-01","age_0_19",1,0.0256410256410256
"AC","2020-08-01","age_20_39",5,0.128205128205128
"AC","2020-08-01","age_40_59",13,0.333333333333333
"AC","2020-08-01","age_60_75",12,0.307692307692308
"AC","2020-08-01","age_75",8,0.205128205128205
"AC","2020-08-08","age_20_39",5,0.151515151515152
"AC","2020-08-08","age_40_59",9,0.272727272727273
"AC","2020-08-08","age_60_75",10,0.303030303030303
"AC","2020-08-08","age_75",9,0.272727272727273
"AC","2020-08-15","age_20_39",6,0.171428571428571
"AC","2020-08-15","age_40_59",11,0.314285714285714
"AC","2020-08-15","age_60_75",12,0.342857142857143
"AC","2020-08-15","age_75",6,0.171428571428571
"AC","2020-08-22","age_20_39",6,0.230769230769231
"AC","2020-08-22","age_40_59",8,0.307692307692308
"AC","2020-08-22","age_60_75",8,0.307692307692308
"AC","2020-08-22","age_75",4,0.153846153846154
"AC","2020-08-29","age_0_19",1,0.04
"AC","2020-08-29","age_20_39",3,0.12
"AC","2020-08-29","age_40_59",8,0.32
"AC","2020-08-29","age_60_75",7,0.28
"AC","2020-08-29","age_75",6,0.24
"AC","2020-09-05","age_20_39",2,0.08
"AC","2020-09-05","age_40_59",7,0.28
"AC","2020-09-05","age_60_75",9,0.36
"AC","2020-09-05","age_75",7,0.28
"AC","2020-09-12","age_0_19",2,0.0909090909090909
"AC","2020-09-12","age_20_39",3,0.136363636363636
"AC","2020-09-12","age_40_59",5,0.227272727272727
"AC","2020-09-12","age_60_75",9,0.409090909090909
"AC","2020-09-12","age_75",3,0.136363636363636
"AC","2020-09-19","age_20_39",5,0.208333333333333
"AC","2020-09-19","age_40_59",7,0.291666666666667
"AC","2020-09-19","age_60_75",6,0.25
"AC","2020-09-19","age_75",6,0.25
"AC","2020-09-26","age_20_39",3,0.2
"AC","2020-09-26","age_40_59",7,0.466666666666667
"AC","2020-09-26","age_60_75",3,0.2
"AC","2020-09-26","age_75",2,0.133333333333333
"AC","2020-10-03","age_0_19",2,0.08
"AC","2020-10-03","age_20_39",5,0.2
"AC","2020-10-03","age_40_59",11,0.44
"AC","2020-10-03","age_60_75",5,0.2
"AC","2020-10-03","age_75",2,0.08
"AC","2020-10-10","age_20_39",5,0.192307692307692
"AC","2020-10-10","age_40_59",10,0.384615384615385
"AC","2020-10-10","age_60_75",9,0.346153846153846
"AC","2020-10-10","age_75",2,0.0769230769230769
"AC","2020-10-17","age_20_39",6,0.222222222222222
"AC","2020-10-17","age_40_59",9,0.333333333333333
"AC","2020-10-17","age_60_75",10,0.37037037037037
"AC","2020-10-17","age_75",2,0.0740740740740741
"AC","2020-10-24","age_0_19",2,0.0571428571428571
"AC","2020-10-24","age_20_39",8,0.228571428571429
"AC","2020-10-24","age_40_59",11,0.314285714285714
"AC","2020-10-24","age_60_75",8,0.228571428571429
"AC","2020-10-24","age_75",6,0.171428571428571
