"","week_min","sg_uf","fit_min","lwr_min","upr_min","week_max","fit_max","lwr_max","upr_max","or","age_clas"
"1","2020-04-04","RS",0.0423499155394964,0.0300518337750049,0.0546479973039879,"2021-03-06",0.0977556218666275,0.0886459529731177,0.106865290760137,2.30828375030544,"age_0_19"
"2","2020-08-29","DF",0.0388807251683994,0.0331950239603938,0.0445664263764049,"2020-03-28",0.092968369305178,0.0540873277660339,0.131849410844322,2.39111716416078,"age_0_19"
"3","2020-09-05","AC",0.0278455632114413,0.0188741517324095,0.036816974690473,"2020-05-23",0.189837290602091,0.150740773460944,0.228933807743237,6.8175058683708,"age_0_19"
"4","2020-09-05","PI",0.0519720392369388,0.0442265143199963,0.0597175641538813,"2020-04-18",0.103831278869912,0.0703933176720115,0.137269240067812,1.99782960981286,"age_0_19"
"5","2020-09-05","RO",0.0490934328509165,0.0403157116432195,0.0578711540586134,"2020-04-25",0.284535930392772,0.213298923638765,0.355772937146779,5.79580432390684,"age_0_19"
"6","2020-10-03","MS",0.0415538283479559,0.0351173776911196,0.0479902790047922,"2021-04-03",0.110929604372369,0.098777635867587,0.123081572877151,2.66953993849825,"age_0_19"
"7","2020-10-17","CE",0.0637240883929568,0.0532948324717791,0.0741533443141344,"2020-03-21",0.196973940208457,0.151309327411304,0.24263855300561,3.09104367243059,"age_0_19"
"8","2020-10-24","RR",0.0510660953940967,0.0363996447397833,0.0657325460484102,"2020-05-09",0.276989049894611,0.200792625275282,0.35318547451394,5.42412823531895,"age_0_19"
"9","2020-11-28","MT",0.0450841644496772,0.0368965199682444,0.0532718089311099,"2020-06-06",0.130068110940311,0.112731382433391,0.147404839447232,2.88500657665493,"age_0_19"
"10","2021-07-17","ES",0.0682468567348933,0.0475211166003418,0.0889725968694448,"2020-04-18",0.316708689010219,0.25644704492737,0.376970333093067,4.64063407697269,"age_0_19"
"11","2021-07-17","PA",0.0503386569188899,0.039169452789661,0.0615078610481188,"2020-03-28",0.259675366943001,0.19806632664042,0.321284407245583,5.15856764635999,"age_0_19"
