"week","age_clas","sg_uf","sobre","obitos","let_obs"
8,"age_0_19","PE",1,0,0
8,"age_20_39","CE",1,0,0
8,"age_20_39","MT",1,0,0
8,"age_20_39","PE",1,0,0
8,"age_20_39","RJ",1,0,0
8,"age_20_39","SP",0,1,1
8,"age_40_59","AL",1,0,0
8,"age_40_59","CE",1,0,0
8,"age_40_59","PB",1,0,0
8,"age_40_59","SP",1,0,0
8,"age_60","PA",1,0,0
8,"age_60","PE",1,0,0
8,"age_60","RJ",1,2,0.666666666666667
8,"age_60","RN",0,1,1
8,"age_60","SP",0,1,1
9,"age_0_19","PE",1,0,0
9,"age_0_19","SP",1,0,0
9,"age_20_39","CE",2,0,0
9,"age_20_39","ES",1,0,0
9,"age_20_39","PE",7,0,0
9,"age_20_39","RJ",1,0,0
9,"age_40_59","CE",1,0,0
9,"age_40_59","PA",0,1,1
9,"age_40_59","PE",1,0,0
9,"age_40_59","RJ",1,1,0.5
9,"age_60","BA",0,1,1
9,"age_60","CE",0,1,1
9,"age_60","GO",0,1,1
9,"age_60","MG",3,2,0.4
9,"age_60","MS",0,1,1
9,"age_60","PA",1,0,0
9,"age_60","PB",1,1,0.5
9,"age_60","PE",1,0,0
9,"age_60","RJ",1,1,0.5
9,"age_60","RO",0,1,1
9,"age_60","SE",0,1,1
9,"age_60","SP",1,0,0
10,"age_0_19","MA",1,0,0
10,"age_0_19","PE",1,0,0
10,"age_0_19","PR",1,0,0
10,"age_0_19","RJ",2,0,0
10,"age_0_19","SP",2,1,0.333333333333333
10,"age_20_39","AP",0,1,1
10,"age_20_39","CE",1,2,0.666666666666667
10,"age_20_39","DF",1,0,0
10,"age_20_39","MA",0,1,1
10,"age_20_39","MG",1,0,0
10,"age_20_39","MT",1,0,0
10,"age_20_39","PA",2,0,0
10,"age_20_39","PE",3,0,0
10,"age_20_39","PI",1,0,0
10,"age_20_39","PR",2,0,0
10,"age_20_39","SC",2,0,0
10,"age_20_39","SP",17,4,0.19047619047619
10,"age_40_59","AL",0,1,1
