"week","age_clas","sg_uf","sobre","obitos","let_obs"
1,"age_0_19","AL",15,1,0.0625
1,"age_0_19","AM",59,5,0.078125
1,"age_0_19","AP",18,0,0
1,"age_0_19","BA",58,4,0.0645161290322581
1,"age_0_19","CE",93,4,0.0412371134020619
1,"age_0_19","DF",37,0,0
1,"age_0_19","ES",2,1,0.333333333333333
1,"age_0_19","GO",40,0,0
1,"age_0_19","MA",6,1,0.142857142857143
1,"age_0_19","MG",132,5,0.0364963503649635
1,"age_0_19","MS",23,1,0.0416666666666667
1,"age_0_19","MT",12,0,0
1,"age_0_19","PA",54,4,0.0689655172413793
1,"age_0_19","PB",19,1,0.05
1,"age_0_19","PE",65,2,0.0298507462686567
1,"age_0_19","PI",11,2,0.153846153846154
1,"age_0_19","PR",131,7,0.0507246376811594
1,"age_0_19","RJ",184,4,0.0212765957446809
1,"age_0_19","RN",21,1,0.0454545454545455
1,"age_0_19","RO",3,1,0.25
1,"age_0_19","RS",61,1,0.0161290322580645
1,"age_0_19","SC",55,1,0.0178571428571429
1,"age_0_19","SE",3,2,0.4
1,"age_0_19","SP",528,11,0.0204081632653061
1,"age_0_19","TO",30,2,0.0625
1,"age_20_39","AC",10,0,0
1,"age_20_39","AL",19,4,0.173913043478261
1,"age_20_39","AM",215,98,0.313099041533546
1,"age_20_39","AP",9,1,0.1
1,"age_20_39","BA",81,16,0.164948453608247
1,"age_20_39","CE",52,13,0.2
1,"age_20_39","DF",42,1,0.0232558139534884
1,"age_20_39","ES",10,5,0.333333333333333
1,"age_20_39","GO",92,10,0.0980392156862745
1,"age_20_39","MA",12,5,0.294117647058824
1,"age_20_39","MG",293,26,0.0815047021943574
1,"age_20_39","MS",46,5,0.0980392156862745
1,"age_20_39","MT",41,3,0.0681818181818182
1,"age_20_39","PA",56,10,0.151515151515152
1,"age_20_39","PB",37,1,0.0263157894736842
1,"age_20_39","PE",29,9,0.236842105263158
1,"age_20_39","PI",10,1,0.0909090909090909
1,"age_20_39","PR",173,18,0.0942408376963351
1,"age_20_39","RJ",111,23,0.171641791044776
1,"age_20_39","RN",21,3,0.125
1,"age_20_39","RO",12,6,0.333333333333333
1,"age_20_39","RR",11,4,0.266666666666667
1,"age_20_39","RS",100,13,0.115044247787611
1,"age_20_39","SC",80,6,0.0697674418604651
1,"age_20_39","SE",6,4,0.4
1,"age_20_39","SP",787,82,0.094361334867664
1,"age_20_39","TO",9,1,0.1
1,"age_40_59","AC",25,4,0.137931034482759
1,"age_40_59","AL",45,12,0.210526315789474
1,"age_40_59","AM",390,309,0.44206008583691
1,"age_40_59","AP",13,4,0.235294117647059
1,"age_40_59","BA",186,42,0.184210526315789
1,"age_40_59","CE",74,36,0.327272727272727
1,"age_40_59","DF",107,10,0.0854700854700855
1,"age_40_59","ES",18,15,0.454545454545455
1,"age_40_59","GO",196,41,0.172995780590717
1,"age_40_59","MA",27,12,0.307692307692308
1,"age_40_59","MG",734,162,0.180803571428571
1,"age_40_59","MS",101,29,0.223076923076923
1,"age_40_59","MT",96,13,0.119266055045872
1,"age_40_59","PA",101,40,0.283687943262411
1,"age_40_59","PB",75,18,0.193548387096774
1,"age_40_59","PE",98,44,0.309859154929577
1,"age_40_59","PI",15,10,0.4
1,"age_40_59","PR",490,86,0.149305555555556
1,"age_40_59","RJ",310,112,0.265402843601896
1,"age_40_59","RN",38,14,0.269230769230769
1,"age_40_59","RO",44,26,0.371428571428571
1,"age_40_59","RR",10,4,0.285714285714286
1,"age_40_59","RS",255,72,0.220183486238532
1,"age_40_59","SC",198,35,0.150214592274678
1,"age_40_59","SE",15,12,0.444444444444444
1,"age_40_59","SP",1882,376,0.16651904340124
1,"age_40_59","TO",15,11,0.423076923076923
1,"age_40_59",NA,0,1,1
1,"age_60","AC",19,8,0.296296296296296
1,"age_60","AL",72,48,0.4
1,"age_60","AM",278,602,0.684090909090909
1,"age_60","AP",18,13,0.419354838709677
1,"age_60","BA",293,228,0.437619961612284
1,"age_60","CE",150,117,0.438202247191011
1,"age_60","DF",116,56,0.325581395348837
1,"age_60","ES",31,59,0.655555555555556
1,"age_60","GO",207,160,0.435967302452316
1,"age_60","MA",37,25,0.403225806451613
1,"age_60","MG",1234,861,0.410978520286396
1,"age_60","MS",138,92,0.4
1,"age_60","MT",104,45,0.302013422818792
1,"age_60","PA",141,154,0.522033898305085
1,"age_60","PB",90,87,0.491525423728814
1,"age_60","PE",194,142,0.422619047619048
1,"age_60","PI",38,28,0.424242424242424
1,"age_60","PR",682,392,0.364990689013035
1,"age_60","RJ",511,654,0.56137339055794
1,"age_60","RN",54,63,0.538461538461538
1,"age_60","RO",24,68,0.739130434782609
1,"age_60","RR",21,14,0.4
1,"age_60","RS",551,325,0.371004566210046
1,"age_60","SC",323,193,0.374031007751938
1,"age_60","SE",19,38,0.666666666666667
1,"age_60","SP",2778,1694,0.378801431127013
1,"age_60","TO",31,28,0.474576271186441
1,"age_60",NA,1,1,0.5
2,"age_0_19","AC",2,0,0
2,"age_0_19","AL",8,2,0.2
2,"age_0_19","AM",51,10,0.163934426229508
2,"age_0_19","AP",12,1,0.0769230769230769
2,"age_0_19","BA",76,3,0.0379746835443038
2,"age_0_19","CE",115,7,0.0573770491803279
2,"age_0_19","DF",35,0,0
2,"age_0_19","ES",6,0,0
2,"age_0_19","GO",32,3,0.0857142857142857
2,"age_0_19","MA",11,2,0.153846153846154
2,"age_0_19","MG",129,1,0.00769230769230769
2,"age_0_19","MS",25,0,0
2,"age_0_19","MT",12,1,0.0769230769230769
2,"age_0_19","PA",48,6,0.111111111111111
2,"age_0_19","PB",15,2,0.117647058823529
2,"age_0_19","PE",65,2,0.0298507462686567
2,"age_0_19","PI",7,1,0.125
2,"age_0_19","PR",113,2,0.0173913043478261
2,"age_0_19","RJ",163,10,0.0578034682080925
2,"age_0_19","RN",13,1,0.0714285714285714
2,"age_0_19","RO",1,1,0.5
2,"age_0_19","RR",2,0,0
2,"age_0_19","RS",56,1,0.0175438596491228
2,"age_0_19","SC",49,5,0.0925925925925926
2,"age_0_19","SE",4,2,0.333333333333333
2,"age_0_19","SP",527,7,0.0131086142322097
2,"age_0_19","TO",40,0,0
2,"age_0_19",NA,1,0,0
2,"age_20_39","AC",15,1,0.0625
2,"age_20_39","AL",25,2,0.0740740740740741
2,"age_20_39","AM",178,77,0.301960784313725
2,"age_20_39","AP",8,1,0.111111111111111
2,"age_20_39","BA",67,9,0.118421052631579
2,"age_20_39","CE",48,9,0.157894736842105
2,"age_20_39","DF",33,3,0.0833333333333333
2,"age_20_39","ES",6,2,0.25
2,"age_20_39","GO",80,14,0.148936170212766
2,"age_20_39","MA",17,9,0.346153846153846
2,"age_20_39","MG",225,39,0.147727272727273
2,"age_20_39","MS",43,5,0.104166666666667
2,"age_20_39","MT",52,1,0.0188679245283019
2,"age_20_39","PA",54,14,0.205882352941176
2,"age_20_39","PB",27,4,0.129032258064516
2,"age_20_39","PE",35,6,0.146341463414634
2,"age_20_39","PI",7,2,0.222222222222222
2,"age_20_39","PR",161,10,0.0584795321637427
2,"age_20_39","RJ",74,18,0.195652173913043
2,"age_20_39","RN",25,4,0.137931034482759
2,"age_20_39","RO",22,8,0.266666666666667
2,"age_20_39","RR",6,5,0.454545454545455
2,"age_20_39","RS",94,13,0.121495327102804
2,"age_20_39","SC",75,6,0.0740740740740741
2,"age_20_39","SE",9,4,0.307692307692308
