"week","sg_uf","hosp"
2020-03-07,"AC",8
2020-03-07,"AL",4
2020-03-07,"AM",25
2020-03-07,"AP",2
2020-03-07,"BA",75
2020-03-07,"CE",81
2020-03-07,"DF",64
2020-03-07,"ES",19
2020-03-07,"GO",42
2020-03-07,"MA",91
2020-03-07,"MG",169
2020-03-07,"MS",26
2020-03-07,"MT",15
2020-03-07,"PA",51
2020-03-07,"PB",41
2020-03-07,"PE",69
2020-03-07,"PI",36
2020-03-07,"PR",136
2020-03-07,"RJ",95
2020-03-07,"RN",16
2020-03-07,"RO",10
2020-03-07,"RR",1
2020-03-07,"RS",63
2020-03-07,"SC",44
2020-03-07,"SE",5
2020-03-07,"SP",660
2020-03-07,"TO",9
2020-03-07,NA,1
2020-03-14,"AC",6
2020-03-14,"AL",11
2020-03-14,"AM",52
2020-03-14,"AP",3
2020-03-14,"BA",162
2020-03-14,"CE",118
2020-03-14,"DF",99
2020-03-14,"ES",44
2020-03-14,"GO",105
2020-03-14,"MA",131
2020-03-14,"MG",449
2020-03-14,"MS",82
2020-03-14,"MT",41
2020-03-14,"PA",60
2020-03-14,"PB",69
2020-03-14,"PE",189
2020-03-14,"PI",59
2020-03-14,"PR",280
2020-03-14,"RJ",364
2020-03-14,"RN",41
2020-03-14,"RO",9
2020-03-14,"RR",3
2020-03-14,"RS",100
2020-03-14,"SC",108
2020-03-14,"SE",20
2020-03-14,"SP",2052
2020-03-14,"TO",18
2020-03-14,NA,8
2020-03-21,"AC",14
2020-03-21,"AL",39
2020-03-21,"AM",167
2020-03-21,"AP",5
2020-03-21,"BA",241
2020-03-21,"CE",412
2020-03-21,"DF",167
2020-03-21,"ES",101
2020-03-21,"GO",198
2020-03-21,"MA",144
2020-03-21,"MG",1111
2020-03-21,"MS",200
2020-03-21,"MT",66
2020-03-21,"PA",152
2020-03-21,"PB",163
2020-03-21,"PE",444
2020-03-21,"PI",126
2020-03-21,"PR",624
2020-03-21,"RJ",1023
2020-03-21,"RN",100
2020-03-21,"RO",12
2020-03-21,"RR",10
2020-03-21,"RS",405
2020-03-21,"SC",340
2020-03-21,"SE",27
2020-03-21,"SP",5476
2020-03-21,"TO",23
2020-03-21,NA,7
2020-03-28,"AC",24
2020-03-28,"AL",33
2020-03-28,"AM",314
2020-03-28,"AP",13
2020-03-28,"BA",236
2020-03-28,"CE",538
2020-03-28,"DF",152
2020-03-28,"ES",102
2020-03-28,"GO",182
2020-03-28,"MA",193
2020-03-28,"MG",1162
2020-03-28,"MS",171
2020-03-28,"MT",109
2020-03-28,"PA",175
2020-03-28,"PB",165
2020-03-28,"PE",463
2020-03-28,"PI",153
2020-03-28,"PR",719
2020-03-28,"RJ",1351
2020-03-28,"RN",81
2020-03-28,"RO",14
2020-03-28,"RR",4
2020-03-28,"RS",616
2020-03-28,"SC",362
2020-03-28,"SE",40
2020-03-28,"SP",6617
2020-03-28,"TO",22
2020-03-28,NA,1
2020-04-04,"AC",35
2020-04-04,"AL",47
2020-04-04,"AM",624
