"sg_uf","week","age_clas","hosp","freq"
"AC",1,"age_20_39",6,0.125
"AC",1,"age_40_59",24,0.5
"AC",1,"age_60",18,0.375
"AC",2,"age_20_39",11,0.152777777777778
"AC",2,"age_40_59",27,0.375
"AC",2,"age_60",34,0.472222222222222
"AC",3,"age_0_19",1,0.0119047619047619
"AC",3,"age_20_39",15,0.178571428571429
"AC",3,"age_40_59",31,0.369047619047619
"AC",3,"age_60",37,0.44047619047619
"AC",4,"age_20_39",10,0.192307692307692
"AC",4,"age_40_59",16,0.307692307692308
"AC",4,"age_60",26,0.5
"AC",5,"age_20_39",14,0.170731707317073
"AC",5,"age_40_59",27,0.329268292682927
"AC",5,"age_60",41,0.5
"AC",6,"age_20_39",16,0.195121951219512
"AC",6,"age_40_59",36,0.439024390243902
"AC",6,"age_60",30,0.365853658536585
"AC",7,"age_20_39",15,0.178571428571429
"AC",7,"age_40_59",21,0.25
"AC",7,"age_60",48,0.571428571428571
"AC",8,"age_0_19",1,0.0172413793103448
"AC",8,"age_20_39",9,0.155172413793103
"AC",8,"age_40_59",17,0.293103448275862
"AC",8,"age_60",31,0.53448275862069
"AC",9,"age_0_19",1,0.0277777777777778
"AC",9,"age_20_39",4,0.111111111111111
"AC",9,"age_40_59",8,0.222222222222222
"AC",9,"age_60",23,0.638888888888889
"AC",10,"age_20_39",4,0.129032258064516
"AC",10,"age_40_59",9,0.290322580645161
"AC",10,"age_60",18,0.580645161290323
"AC",11,"age_20_39",1,0.0833333333333333
"AC",11,"age_40_59",5,0.416666666666667
"AC",11,"age_60",6,0.5
"AC",12,"age_20_39",2,0.5
"AC",12,"age_40_59",1,0.25
"AC",12,"age_60",1,0.25
"AC",14,"age_0_19",1,0.111111111111111
"AC",14,"age_20_39",2,0.222222222222222
"AC",14,"age_40_59",2,0.222222222222222
"AC",14,"age_60",4,0.444444444444444
"AC",15,"age_20_39",3,0.2
"AC",15,"age_40_59",8,0.533333333333333
"AC",15,"age_60",4,0.266666666666667
"AC",16,"age_20_39",4,0.25
"AC",16,"age_40_59",6,0.375
"AC",16,"age_60",6,0.375
"AC",17,"age_0_19",1,0.037037037037037
"AC",17,"age_20_39",6,0.222222222222222
"AC",17,"age_40_59",11,0.407407407407407
"AC",17,"age_60",9,0.333333333333333
"AC",18,"age_0_19",2,0.0588235294117647
"AC",18,"age_20_39",7,0.205882352941176
"AC",18,"age_40_59",11,0.323529411764706
"AC",18,"age_60",14,0.411764705882353
"AC",19,"age_20_39",13,0.213114754098361
"AC",19,"age_40_59",22,0.360655737704918
"AC",19,"age_60",26,0.426229508196721
"AC",20,"age_0_19",1,0.0102040816326531
"AC",20,"age_20_39",18,0.183673469387755
"AC",20,"age_40_59",24,0.244897959183673
"AC",20,"age_60",55,0.561224489795918
"AC",21,"age_0_19",2,0.0266666666666667
"AC",21,"age_20_39",15,0.2
"AC",21,"age_40_59",29,0.386666666666667
"AC",21,"age_60",29,0.386666666666667
"AC",22,"age_0_19",1,0.0172413793103448
"AC",22,"age_20_39",5,0.0862068965517241
"AC",22,"age_40_59",12,0.206896551724138
"AC",22,"age_60",40,0.689655172413793
"AC",23,"age_0_19",2,0.0240963855421687
"AC",23,"age_20_39",7,0.0843373493975904
"AC",23,"age_40_59",29,0.349397590361446
"AC",23,"age_60",45,0.542168674698795
"AC",24,"age_20_39",9,0.160714285714286
"AC",24,"age_40_59",21,0.375
"AC",24,"age_60",26,0.464285714285714
"AC",25,"age_20_39",10,0.192307692307692
"AC",25,"age_40_59",20,0.384615384615385
"AC",25,"age_60",22,0.423076923076923
"AC",26,"age_20_39",6,0.12
"AC",26,"age_40_59",21,0.42
"AC",26,"age_60",23,0.46
"AC",27,"age_0_19",1,0.02
"AC",27,"age_20_39",6,0.12
"AC",27,"age_40_59",18,0.36
"AC",27,"age_60",25,0.5
"AC",28,"age_0_19",1,0.02
"AC",28,"age_20_39",4,0.08
"AC",28,"age_40_59",19,0.38
"AC",28,"age_60",26,0.52
"AC",29,"age_0_19",1,0.0294117647058824
"AC",29,"age_20_39",4,0.117647058823529
"AC",29,"age_40_59",15,0.441176470588235
"AC",29,"age_60",14,0.411764705882353
"AC",30,"age_0_19",2,0.0454545454545455
"AC",30,"age_20_39",6,0.136363636363636
"AC",30,"age_40_59",12,0.272727272727273
"AC",30,"age_60",24,0.545454545454545
"AC",31,"age_0_19",1,0.0285714285714286
"AC",31,"age_20_39",5,0.142857142857143
"AC",31,"age_40_59",12,0.342857142857143
"AC",31,"age_60",17,0.485714285714286
"AC",32,"age_20_39",3,0.107142857142857
"AC",32,"age_40_59",8,0.285714285714286
"AC",32,"age_60",17,0.607142857142857
"AC",33,"age_20_39",5,0.151515151515152
"AC",33,"age_40_59",11,0.333333333333333
"AC",33,"age_60",17,0.515151515151515
"AC",34,"age_20_39",6,0.25
"AC",34,"age_40_59",8,0.333333333333333
"AC",34,"age_60",10,0.416666666666667
"AC",35,"age_0_19",1,0.0476190476190476
"AC",35,"age_20_39",2,0.0952380952380952
"AC",35,"age_40_59",5,0.238095238095238
"AC",35,"age_60",13,0.619047619047619
"AC",36,"age_20_39",1,0.05
"AC",36,"age_40_59",6,0.3
"AC",36,"age_60",13,0.65
"AC",37,"age_0_19",1,0.0588235294117647
"AC",37,"age_20_39",2,0.117647058823529
"AC",37,"age_40_59",2,0.117647058823529
"AC",37,"age_60",12,0.705882352941177
"AC",38,"age_20_39",3,0.157894736842105
"AC",38,"age_40_59",6,0.315789473684211
"AC",38,"age_60",10,0.526315789473684
"AC",39,"age_20_39",2,0.181818181818182
"AC",39,"age_40_59",5,0.454545454545455
"AC",39,"age_60",4,0.363636363636364
"AC",40,"age_0_19",2,0.0909090909090909
"AC",40,"age_20_39",3,0.136363636363636
"AC",40,"age_40_59",10,0.454545454545455
"AC",40,"age_60",7,0.318181818181818
"AC",41,"age_20_39",5,0.192307692307692
"AC",41,"age_40_59",10,0.384615384615385
"AC",41,"age_60",11,0.423076923076923
"AC",42,"age_20_39",5,0.192307692307692
"AC",42,"age_40_59",9,0.346153846153846
"AC",42,"age_60",12,0.461538461538462
"AC",43,"age_0_19",1,0.03125
"AC",43,"age_20_39",8,0.25
"AC",43,"age_40_59",9,0.28125
"AC",43,"age_60",14,0.4375
"AC",44,"age_0_19",1,0.03125
"AC",44,"age_20_39",8,0.25
"AC",44,"age_40_59",14,0.4375
"AC",44,"age_60",9,0.28125
"AC",45,"age_20_39",11,0.25
"AC",45,"age_40_59",16,0.363636363636364
"AC",45,"age_60",17,0.386363636363636
"AC",46,"age_0_19",1,0.025
"AC",46,"age_20_39",8,0.2
"AC",46,"age_40_59",18,0.45
"AC",46,"age_60",13,0.325
"AC",47,"age_20_39",4,0.108108108108108
"AC",47,"age_40_59",17,0.459459459459459
"AC",47,"age_60",16,0.432432432432432
"AC",48,"age_20_39",3,0.115384615384615
"AC",48,"age_40_59",10,0.384615384615385
"AC",48,"age_60",13,0.5
"AC",49,"age_0_19",1,0.0294117647058824
"AC",49,"age_20_39",7,0.205882352941176
"AC",49,"age_40_59",14,0.411764705882353
"AC",49,"age_60",12,0.352941176470588
"AC",50,"age_20_39",2,0.0555555555555556
"AC",50,"age_40_59",19,0.527777777777778
"AC",50,"age_60",15,0.416666666666667
"AC",51,"age_0_19",1,0.027027027027027
"AC",51,"age_20_39",4,0.108108108108108
"AC",51,"age_40_59",13,0.351351351351351
"AC",51,"age_60",19,0.513513513513513
"AC",52,"age_20_39",8,0.205128205128205
"AC",52,"age_40_59",10,0.256410256410256
"AC",52,"age_60",21,0.538461538461538
"AC",53,"age_0_19",1,0.0212765957446809
"AC",53,"age_20_39",8,0.170212765957447
"AC",53,"age_40_59",15,0.319148936170213
"AC",53,"age_60",23,0.48936170212766
"AL",1,"age_0_19",5,0.0303030303030303
"AL",1,"age_20_39",17,0.103030303030303
"AL",1,"age_40_59",45,0.272727272727273
"AL",1,"age_60",98,0.593939393939394
"AL",2,"age_0_19",4,0.0251572327044025
"AL",2,"age_20_39",21,0.132075471698113
"AL",2,"age_40_59",42,0.264150943396226
"AL",2,"age_60",92,0.578616352201258
"AL",3,"age_0_19",2,0.0144927536231884
"AL",3,"age_20_39",17,0.123188405797101
"AL",3,"age_40_59",39,0.282608695652174
"AL",3,"age_60",80,0.579710144927536
"AL",4,"age_0_19",8,0.0615384615384615
"AL",4,"age_20_39",13,0.1
"AL",4,"age_40_59",39,0.3
"AL",4,"age_60",70,0.538461538461538
"AL",5,"age_0_19",7,0.0429447852760736
"AL",5,"age_20_39",23,0.141104294478528
"AL",5,"age_40_59",54,0.331288343558282
"AL",5,"age_60",79,0.484662576687117
"AL",6,"age_0_19",4,0.0272108843537415
"AL",6,"age_20_39",14,0.0952380952380952
"AL",6,"age_40_59",50,0.340136054421769
"AL",6,"age_60",79,0.537414965986395
"AL",7,"age_0_19",6,0.0271493212669683
"AL",7,"age_20_39",33,0.149321266968326
"AL",7,"age_40_59",64,0.289592760180996
"AL",7,"age_60",118,0.53393665158371
"AL",8,"age_0_19",4,0.0220994475138122
"AL",8,"age_20_39",29,0.160220994475138
"AL",8,"age_40_59",50,0.276243093922652
"AL",8,"age_60",98,0.541436464088398
"AL",9,"age_0_19",6,0.0263157894736842
"AL",9,"age_20_39",33,0.144736842105263
"AL",9,"age_40_59",95,0.416666666666667
"AL",9,"age_60",94,0.412280701754386
"AL",10,"age_0_19",3,0.0182926829268293
"AL",10,"age_20_39",29,0.176829268292683
"AL",10,"age_40_59",57,0.347560975609756
"AL",10,"age_60",75,0.457317073170732
"AL",11,"age_0_19",1,0.0128205128205128
"AL",11,"age_20_39",7,0.0897435897435897
"AL",11,"age_40_59",31,0.397435897435897
"AL",11,"age_60",39,0.5
"AL",12,"age_0_19",1,0.0526315789473684
"AL",12,"age_20_39",2,0.105263157894737
"AL",12,"age_40_59",9,0.473684210526316
"AL",12,"age_60",7,0.368421052631579
"AL",13,"age_40_59",1,0.25
"AL",13,"age_60",3,0.75
"AL",14,"age_0_19",1,0.0588235294117647
"AL",14,"age_20_39",3,0.176470588235294
"AL",14,"age_40_59",4,0.235294117647059
"AL",14,"age_60",9,0.529411764705882
"AL",15,"age_20_39",3,0.0789473684210526
"AL",15,"age_40_59",15,0.394736842105263
"AL",15,"age_60",20,0.526315789473684
"AL",16,"age_0_19",1,0.00847457627118644
"AL",16,"age_20_39",16,0.135593220338983
"AL",16,"age_40_59",46,0.389830508474576
"AL",16,"age_60",55,0.466101694915254
"AL",17,"age_0_19",3,0.014218009478673
"AL",17,"age_20_39",35,0.165876777251185
"AL",17,"age_40_59",70,0.33175355450237
"AL",17,"age_60",103,0.488151658767773
"AL",18,"age_0_19",6,0.0186915887850467
"AL",18,"age_20_39",32,0.0996884735202492
"AL",18,"age_40_59",109,0.339563862928349
"AL",18,"age_60",174,0.542056074766355
"AL",19,"age_0_19",5,0.0116279069767442
"AL",19,"age_20_39",48,0.111627906976744
"AL",19,"age_40_59",136,0.316279069767442
"AL",19,"age_60",241,0.56046511627907
"AL",20,"age_0_19",10,0.0203252032520325
"AL",20,"age_20_39",49,0.0995934959349594
"AL",20,"age_40_59",145,0.294715447154472
"AL",20,"age_60",288,0.585365853658537
"AL",21,"age_0_19",5,0.0109170305676856
"AL",21,"age_20_39",40,0.0873362445414847
"AL",21,"age_40_59",152,0.331877729257642
"AL",21,"age_60",261,0.569868995633188
"AL",22,"age_0_19",9,0.0223880597014925
"AL",22,"age_20_39",42,0.104477611940299
"AL",22,"age_40_59",123,0.305970149253731
"AL",22,"age_60",228,0.567164179104478
"AL",23,"age_0_19",9,0.0214797136038186
"AL",23,"age_20_39",36,0.0859188544152745
"AL",23,"age_40_59",132,0.315035799522673
"AL",23,"age_60",242,0.577565632458234
"AL",24,"age_0_19",5,0.0149700598802395
"AL",24,"age_20_39",23,0.0688622754491018
"AL",24,"age_40_59",100,0.29940119760479
"AL",24,"age_60",206,0.616766467065868
"AL",25,"age_0_19",6,0.0201342281879195
"AL",25,"age_20_39",26,0.087248322147651
"AL",25,"age_40_59",86,0.288590604026846
"AL",25,"age_60",180,0.604026845637584
"AL",26,"age_0_19",3,0.0164835164835165
"AL",26,"age_20_39",20,0.10989010989011
"AL",26,"age_40_59",44,0.241758241758242
"AL",26,"age_60",115,0.631868131868132
"AL",27,"age_0_19",3,0.0146341463414634
"AL",27,"age_20_39",15,0.0731707317073171
"AL",27,"age_40_59",68,0.331707317073171
"AL",27,"age_60",119,0.580487804878049
"AL",28,"age_0_19",7,0.0404624277456647
"AL",28,"age_20_39",16,0.092485549132948
"AL",28,"age_40_59",48,0.277456647398844
"AL",28,"age_60",102,0.589595375722543
"AL",29,"age_0_19",5,0.0413223140495868
"AL",29,"age_20_39",12,0.0991735537190083
"AL",29,"age_40_59",28,0.231404958677686
"AL",29,"age_60",76,0.628099173553719
"AL",30,"age_0_19",7,0.0555555555555556
"AL",30,"age_20_39",14,0.111111111111111
"AL",30,"age_40_59",30,0.238095238095238
"AL",30,"age_60",75,0.595238095238095
"AL",31,"age_0_19",5,0.0574712643678161
"AL",31,"age_20_39",12,0.137931034482759
"AL",31,"age_40_59",24,0.275862068965517
"AL",31,"age_60",46,0.528735632183908
"AL",32,"age_0_19",3,0.0379746835443038
"AL",32,"age_20_39",7,0.0886075949367089
"AL",32,"age_40_59",20,0.253164556962025
"AL",32,"age_60",49,0.620253164556962
"AL",33,"age_0_19",8,0.119402985074627
"AL",33,"age_20_39",4,0.0597014925373134
"AL",33,"age_40_59",20,0.298507462686567
"AL",33,"age_60",35,0.522388059701492
"AL",34,"age_0_19",4,0.0588235294117647
"AL",34,"age_20_39",7,0.102941176470588
"AL",34,"age_40_59",21,0.308823529411765
"AL",34,"age_60",36,0.529411764705882
"AL",35,"age_0_19",7,0.127272727272727
"AL",35,"age_20_39",10,0.181818181818182
"AL",35,"age_40_59",8,0.145454545454545
"AL",35,"age_60",30,0.545454545454545
"AL",36,"age_0_19",6,0.122448979591837
"AL",36,"age_20_39",2,0.0408163265306122
"AL",36,"age_40_59",16,0.326530612244898
"AL",36,"age_60",25,0.510204081632653
"AL",37,"age_0_19",1,0.0256410256410256
"AL",37,"age_20_39",5,0.128205128205128
"AL",37,"age_40_59",10,0.256410256410256
"AL",37,"age_60",23,0.58974358974359
"AL",38,"age_0_19",2,0.0384615384615385
"AL",38,"age_20_39",7,0.134615384615385
"AL",38,"age_40_59",11,0.211538461538462
"AL",38,"age_60",32,0.615384615384615
"AL",39,"age_0_19",2,0.0487804878048781
"AL",39,"age_20_39",4,0.0975609756097561
"AL",39,"age_40_59",14,0.341463414634146
"AL",39,"age_60",21,0.51219512195122
"AL",40,"age_0_19",2,0.0540540540540541
"AL",40,"age_20_39",6,0.162162162162162
"AL",40,"age_40_59",14,0.378378378378378
"AL",40,"age_60",15,0.405405405405405
"AL",41,"age_0_19",1,0.0227272727272727
"AL",41,"age_20_39",7,0.159090909090909
"AL",41,"age_40_59",16,0.363636363636364
"AL",41,"age_60",20,0.454545454545455
"AL",42,"age_0_19",5,0.128205128205128
"AL",42,"age_20_39",4,0.102564102564103
"AL",42,"age_40_59",7,0.179487179487179
"AL",42,"age_60",23,0.58974358974359
"AL",43,"age_20_39",7,0.127272727272727
"AL",43,"age_40_59",19,0.345454545454545
"AL",43,"age_60",29,0.527272727272727
"AL",44,"age_0_19",3,0.0909090909090909
"AL",44,"age_20_39",5,0.151515151515152
"AL",44,"age_40_59",6,0.181818181818182
"AL",44,"age_60",19,0.575757575757576
"AL",45,"age_0_19",6,0.117647058823529
"AL",45,"age_20_39",7,0.137254901960784
"AL",45,"age_40_59",11,0.215686274509804
"AL",45,"age_60",27,0.529411764705882
"AL",46,"age_0_19",5,0.0746268656716418
"AL",46,"age_20_39",9,0.134328358208955
"AL",46,"age_40_59",18,0.26865671641791
"AL",46,"age_60",35,0.522388059701492
"AL",47,"age_0_19",8,0.0720720720720721
"AL",47,"age_20_39",18,0.162162162162162
"AL",47,"age_40_59",33,0.297297297297297
"AL",47,"age_60",52,0.468468468468468
"AL",48,"age_0_19",5,0.043859649122807
"AL",48,"age_20_39",13,0.114035087719298
"AL",48,"age_40_59",40,0.350877192982456
"AL",48,"age_60",56,0.491228070175439
"AL",49,"age_0_19",8,0.0522875816993464
"AL",49,"age_20_39",19,0.124183006535948
"AL",49,"age_40_59",62,0.405228758169935
"AL",49,"age_60",64,0.418300653594771
"AL",50,"age_0_19",5,0.0314465408805031
"AL",50,"age_20_39",17,0.106918238993711
"AL",50,"age_40_59",44,0.276729559748428
"AL",50,"age_60",93,0.584905660377358
"AL",51,"age_0_19",12,0.0670391061452514
"AL",51,"age_20_39",18,0.100558659217877
"AL",51,"age_40_59",51,0.284916201117318
"AL",51,"age_60",98,0.547486033519553
"AL",52,"age_0_19",8,0.0479041916167665
"AL",52,"age_20_39",20,0.119760479041916
"AL",52,"age_40_59",53,0.317365269461078
"AL",52,"age_60",86,0.514970059880239
"AL",53,"age_0_19",6,0.0368098159509202
"AL",53,"age_20_39",17,0.104294478527607
"AL",53,"age_40_59",44,0.269938650306748
"AL",53,"age_60",96,0.588957055214724
"AM",1,"age_0_19",42,0.0234768026830632
"AM",1,"age_20_39",282,0.157629960871996
"AM",1,"age_40_59",652,0.364449413079933
"AM",1,"age_60",813,0.454443823365008
"AM",2,"age_0_19",35,0.0187265917602996
"AM",2,"age_20_39",234,0.125200642054575
"AM",2,"age_40_59",704,0.376672017121455
"AM",2,"age_60",896,0.47940074906367
"AM",3,"age_0_19",28,0.0202751629254164
"AM",3,"age_20_39",188,0.136133236784938
"AM",3,"age_40_59",484,0.350470673425054
"AM",3,"age_60",681,0.493120926864591
"AM",4,"age_0_19",15,0.0151975683890578
"AM",4,"age_20_39",163,0.165146909827761
"AM",4,"age_40_59",372,0.376899696048632
"AM",4,"age_60",437,0.442755825734549
"AM",5,"age_0_19",21,0.0220356768100735
"AM",5,"age_20_39",150,0.157397691500525
"AM",5,"age_40_59",324,0.339979013641133
"AM",5,"age_60",458,0.480587618048269
"AM",6,"age_0_19",17,0.0284757118927973
"AM",6,"age_20_39",90,0.150753768844221
"AM",6,"age_40_59",205,0.343383584589615
"AM",6,"age_60",285,0.477386934673367
"AM",7,"age_0_19",15,0.0306122448979592
"AM",7,"age_20_39",81,0.16530612244898
"AM",7,"age_40_59",159,0.324489795918367
"AM",7,"age_60",235,0.479591836734694
"AM",8,"age_0_19",7,0.0214723926380368
"AM",8,"age_20_39",55,0.168711656441718
"AM",8,"age_40_59",109,0.334355828220859
"AM",8,"age_60",155,0.475460122699386
"AM",9,"age_0_19",12,0.0326975476839237
"AM",9,"age_20_39",57,0.155313351498638
"AM",9,"age_40_59",136,0.370572207084469
"AM",9,"age_60",162,0.44141689373297
"AM",10,"age_0_19",12,0.0412371134020619
"AM",10,"age_20_39",42,0.144329896907216
"AM",10,"age_40_59",106,0.36426116838488
"AM",10,"age_60",131,0.450171821305842
"AM",11,"age_0_19",12,0.0621761658031088
"AM",11,"age_20_39",33,0.170984455958549
"AM",11,"age_40_59",72,0.373056994818653
"AM",11,"age_60",76,0.393782383419689
"AM",12,"age_0_19",8,0.0842105263157895
"AM",12,"age_20_39",14,0.147368421052632
"AM",12,"age_40_59",39,0.410526315789474
"AM",12,"age_60",34,0.357894736842105
"AM",13,"age_0_19",5,0.0271739130434783
"AM",13,"age_20_39",32,0.173913043478261
"AM",13,"age_40_59",76,0.41304347826087
