"week","sg_uf","hosp"
10,"AC",212
10,"AL",550
10,"AM",529
10,"AP",152
10,"BA",1687
10,"CE",2021
10,"DF",1390
10,"ES",318
10,"GO",2127
10,"MA",643
10,"MG",7433
10,"MS",840
10,"MT",855
10,"PA",1825
10,"PB",903
10,"PE",1138
10,"PI",509
10,"PR",3619
10,"RJ",3590
10,"RN",587
10,"RO",433
10,"RR",86
10,"RS",4293
10,"SC",2531
10,"SE",254
10,"SP",18472
10,"TO",253
10,NA,5
11,"AC",151
11,"AL",479
11,"AM",590
11,"AP",138
11,"BA",1642
11,"CE",1887
11,"DF",1391
11,"ES",390
11,"GO",2212
11,"MA",620
11,"MG",8292
11,"MS",1070
11,"MT",852
11,"PA",1843
11,"PB",888
11,"PE",1290
11,"PI",509
11,"PR",3615
11,"RJ",4269
11,"RN",470
11,"RO",406
11,"RR",98
11,"RS",3595
11,"SC",2292
11,"SE",271
11,"SP",19889
11,"TO",241
11,NA,13
12,"AC",146
12,"AL",439
12,"AM",564
12,"AP",116
12,"BA",1537
12,"CE",1857
12,"DF",1216
12,"ES",469
12,"GO",1860
12,"MA",547
12,"MG",7445
12,"MS",1035
12,"MT",749
12,"PA",1481
12,"PB",762
12,"PE",1303
12,"PI",500
12,"PR",3030
12,"RJ",4536
12,"RN",514
12,"RO",317
12,"RR",100
12,"RS",2990
12,"SC",1944
12,"SE",261
12,"SP",18613
12,"TO",217
12,NA,11
13,"AC",149
13,"AL",494
13,"AM",709
13,"AP",139
13,"BA",1509
13,"CE",2156
13,"DF",1169
13,"ES",438
13,"GO",1823
13,"MA",591
13,"MG",6607
13,"MS",998
13,"MT",684
13,"PA",1353
13,"PB",785
13,"PE",1291
13,"PI",539
13,"PR",2991
13,"RJ",4809
13,"RN",504
13,"RO",301
13,"RR",66
13,"RS",3039
13,"SC",1911
13,"SE",330
13,"SP",18067
13,"TO",208
13,NA,11
14,"AC",134
14,"AL",542
14,"AM",1014
14,"AP",150
14,"BA",1548
14,"CE",2216
14,"DF",1036
14,"ES",451
14,"GO",1675
14,"MA",726
14,"MG",6099
14,"MS",880
14,"MT",644
14,"PA",1356
14,"PB",682
14,"PE",1547
14,"PI",520
14,"PR",3228
14,"RJ",4846
14,"RN",530
14,"RO",296
14,"RR",70
14,"RS",2960
14,"SC",1871
14,"SE",289
14,"SP",16936
14,"TO",182
14,NA,3
15,"AC",124
15,"AL",530
15,"AM",1287
15,"AP",118
15,"BA",1448
15,"CE",2024
15,"DF",855
15,"ES",438
15,"GO",1379
15,"MA",771
15,"MG",5397
15,"MS",747
15,"MT",477
15,"PA",1384
15,"PB",637
15,"PE",2045
15,"PI",427
15,"PR",2990
15,"RJ",5242
15,"RN",465
15,"RO",203
15,"RR",60
15,"RS",2521
15,"SC",1612
15,"SE",253
15,"SP",15570
15,"TO",152
15,NA,10
16,"AC",117
16,"AL",614
16,"AM",1483
16,"AP",110
16,"BA",1646
16,"CE",2326
16,"DF",741
16,"ES",359
16,"GO",1330
16,"MA",953
16,"MG",5343
16,"MS",729
16,"MT",439
16,"PA",1946
16,"PB",689
16,"PE",2316
16,"PI",453
16,"PR",2946
16,"RJ",5944
16,"RN",469
16,"RO",203
16,"RR",58
16,"RS",2519
16,"SC",1730
16,"SE",274
16,"SP",16600
16,"TO",167
16,NA,5
17,"AC",140
17,"AL",712
17,"AM",1709
17,"AP",176
17,"BA",1719
17,"CE",2860
17,"DF",724
17,"ES",380
17,"GO",1398
17,"MA",1064
17,"MG",5353
17,"MS",803
17,"MT",386
17,"PA",2553
17,"PB",874
17,"PE",2693
17,"PI",499
17,"PR",3530
17,"RJ",6564
17,"RN",532
17,"RO",248
17,"RR",68
17,"RS",2777
17,"SC",1665
17,"SE",309
17,"SP",18409
17,"TO",191
17,NA,5
18,"AC",124
18,"AL",853
18,"AM",1643
18,"AP",164
18,"BA",1921
18,"CE",3358
18,"DF",707
18,"ES",441
18,"GO",1455
18,"MA",1333
18,"MG",5388
18,"MS",876
