"week","sg_uf","hosp"
10,"AC",38
10,"AL",214
10,"AM",367
10,"AP",31
10,"BA",990
10,"CE",1085
10,"DF",688
10,"ES",200
10,"GO",1174
10,"MA",357
10,"MG",3895
10,"MS",531
10,"MT",222
10,"PA",779
10,"PB",653
10,"PE",391
10,"PI",276
10,"PR",2039
10,"RJ",1659
10,"RN",344
10,"RO",207
10,"RR",32
10,"RS",2853
10,"SC",1582
10,"SE",198
10,"SP",11228
10,"TO",144
10,NA,3
11,"AC",16
11,"AL",100
11,"AM",304
11,"AP",14
11,"BA",630
11,"CE",546
11,"DF",468
11,"ES",134
11,"GO",720
11,"MA",234
11,"MG",2504
11,"MS",440
11,"MT",139
11,"PA",397
11,"PB",405
11,"PE",326
11,"PI",158
11,"PR",1294
11,"RJ",1373
11,"RN",160
11,"RO",92
11,"RR",36
11,"RS",1425
11,"SC",834
11,"SE",138
11,"SP",7726
11,"TO",76
11,NA,10
12,"AC",13
12,"AL",45
12,"AM",201
12,"AP",6
12,"BA",302
12,"CE",426
12,"DF",217
12,"ES",106
12,"GO",297
12,"MA",142
12,"MG",1432
12,"MS",260
12,"MT",74
12,"PA",189
12,"PB",194
12,"PE",330
12,"PI",140
12,"PR",752
12,"RJ",1054
12,"RN",108
12,"RO",19
12,"RR",30
12,"RS",611
12,"SC",390
12,"SE",49
12,"SP",6140
12,"TO",25
12,NA,7
13,"AC",18
13,"AL",28
13,"AM",299
13,"AP",13
13,"BA",193
13,"CE",480
13,"DF",147
13,"ES",82
13,"GO",177
13,"MA",162
13,"MG",1055
13,"MS",166
13,"MT",97
13,"PA",158
13,"PB",147
13,"PE",321
13,"PI",149
13,"PR",700
13,"RJ",1087
13,"RN",67
13,"RO",14
13,"RR",4
13,"RS",609
13,"SC",294
13,"SE",26
13,"SP",6310
13,"TO",17
13,NA,1
14,"AC",34
14,"AL",42
14,"AM",586
14,"AP",15
14,"BA",219
14,"CE",557
14,"DF",139
14,"ES",143
14,"GO",188
14,"MA",275
14,"MG",988
14,"MS",181
14,"MT",101
14,"PA",286
14,"PB",119
14,"PE",572
14,"PI",115
14,"PR",693
14,"RJ",1652
14,"RN",85
14,"RO",55
14,"RR",4
14,"RS",518
14,"SC",232
14,"SE",22
14,"SP",5977
14,"TO",10
14,NA,1
15,"AC",58
15,"AL",81
15,"AM",983
15,"AP",15
15,"BA",279
15,"CE",813
15,"DF",146
15,"ES",153
15,"GO",185
15,"MA",431
15,"MG",887
15,"MS",141
15,"MT",91
15,"PA",666
15,"PB",137
15,"PE",1130
15,"PI",128
15,"PR",647
15,"RJ",2323
15,"RN",82
15,"RO",47
15,"RR",13
15,"RS",529
15,"SC",253
15,"SE",31
15,"SP",5974
15,"TO",14
15,NA,4
16,"AC",63
16,"AL",156
16,"AM",1181
16,"AP",25
16,"BA",407
16,"CE",1181
16,"DF",142
16,"ES",148
16,"GO",191
16,"MA",584
16,"MG",907
16,"MS",123
16,"MT",63
16,"PA",1200
16,"PB",190
16,"PE",1469
16,"PI",155
16,"PR",698
16,"RJ",3206
16,"RN",92
16,"RO",72
16,"RR",12
16,"RS",598
16,"SC",247
16,"SE",33
16,"SP",7028
16,"TO",13
17,"AC",72
17,"AL",267
17,"AM",1355
17,"AP",78
17,"BA",413
17,"CE",1738
17,"DF",181
17,"ES",187
17,"GO",234
17,"MA",661
17,"MG",1011
17,"MS",147
17,"MT",72
17,"PA",1814
17,"PB",320
17,"PE",1887
17,"PI",185
17,"PR",766
17,"RJ",3813
