"","model","AICc","dAICc","df","weight"
"m_full","Week * Age + Week * UF",47118.1,0,269.31,"1"
"m_1","Week + Age + UF",56586.31,9468.22,39.89,"<0.0001"
"m_2","Week * Age",70864.73,23746.63,47.04,"<0.0001"
"m_3","Week + Age",72495.94,25377.84,13.95,"<0.0001"
"m_4","Week * UF",205637.6,158519.5,248.4,"<0.0001"
"m_5","Week + UF",214648.3,167530.2,35.96,"<0.0001"
"m_6","Week",232934.23,185816.14,9.98,"<0.0001"
