"week","age_clas","sg_uf","sobre","obitos","let_obs","week_uf","fit","upr","lwr"
2020-03-07,"age_0_19","SP",2,1,0.333333333333333,1,0.113215761527945,0.14250358799727,0.0839279350586192
2020-03-07,"age_20_39","SP",17,4,0.19047619047619,1,0.0785361262613293,0.0902241604486363,0.0668480920740224
2020-03-07,"age_40_59","SP",29,5,0.147058823529412,1,0.154601374688545,0.169790686301193,0.139412063075896
2020-03-07,"age_60_75","SP",27,14,0.341463414634146,1,0.368918262974098,0.39466347349253,0.343173052455665
2020-03-07,"age_75","SP",5,23,0.821428571428571,1,0.570927589681792,0.602016920566488,0.539838258797096
2020-03-14,"age_0_19","PE",3,0,0,1,0.15136058520224,0.195831275187938,0.106889895216542
2020-03-14,"age_0_19","RJ",2,1,0.333333333333333,1,0.200214140024621,0.249361760394927,0.151066519654316
2020-03-14,"age_0_19","SP",5,3,0.375,2,0.10960741427691,0.13346953898481,0.0857452895690105
2020-03-14,"age_20_39","PE",12,1,0.0769230769230769,1,0.106398548084868,0.13016610801754,0.0826309881521949
2020-03-14,"age_20_39","RJ",12,3,0.2,1,0.143188615264826,0.166263110666365,0.120114119863288
2020-03-14,"age_20_39","SP",99,3,0.0294117647058824,2,0.0811104719921507,0.0907996855428195,0.0714212584414819
2020-03-14,"age_40_59","PE",12,2,0.142857142857143,1,0.20349024174497,0.240089532144948,0.166890951344993
2020-03-14,"age_40_59","RJ",22,7,0.241379310344828,1,0.263936384061412,0.293213592388865,0.234659175733959
2020-03-14,"age_40_59","SP",170,34,0.166666666666667,2,0.162028382106734,0.174616799069035,0.149439965144433
2020-03-14,"age_60_75","PE",8,2,0.2,1,0.449541504431446,0.505484709826363,0.393598299036529
2020-03-14,"age_60_75","RJ",13,17,0.566666666666667,1,0.534069502525331,0.57152342565672,0.496615579393942
2020-03-14,"age_60_75","SP",142,94,0.398305084745763,2,0.375464908870875,0.396183902910989,0.354745914830762
2020-03-14,"age_75","PE",1,0,0,1,0.650212544304962,0.703735332953809,0.596689755656115
2020-03-14,"age_75","RJ",4,12,0.75,1,0.722918836479635,0.755839431848902,0.689998241110369
2020-03-14,"age_75","SP",55,76,0.580152671755725,2,0.57226663898038,0.597166788307131,0.547366489653629
2020-03-21,"age_0_19","AM",2,0,0,1,0.392920135728823,0.472898583474686,0.31294168798296
2020-03-21,"age_0_19","CE",2,1,0.333333333333333,1,0.219529981078893,0.274795056476624,0.164264905681161
2020-03-21,"age_0_19","MG",1,0,0,1,0.0918331123004649,0.122155833814176,0.0615103907867538
2020-03-21,"age_0_19","PE",6,1,0.142857142857143,2,0.154115529605908,0.191423747040363,0.116807312171453
2020-03-21,"age_0_19","RJ",11,2,0.153846153846154,2,0.201783181078489,0.242911013879474,0.160655348277505
2020-03-21,"age_0_19","SP",18,1,0.0526315789473684,3,0.106021530907686,0.125160569480185,0.0868824923351879
2020-03-21,"age_20_39","AM",12,0,0,1,0.301713304176213,0.350203769564936,0.25322283878749
2020-03-21,"age_20_39","CE",21,4,0.16,1,0.15809034327828,0.186395685114889,0.12978500144167
2020-03-21,"age_20_39","MG",15,1,0.0625,1,0.063236228852025,0.0794553129171836,0.0470171447868665
2020-03-21,"age_20_39","PE",15,2,0.117647058823529,2,0.115548568456824,0.13602318998751,0.0950739469261387
2020-03-21,"age_20_39","PR",16,0,0,1,0.0563465963872265,0.0748213376666736,0.0378718551077794
2020-03-21,"age_20_39","RJ",35,14,0.285714285714286,2,0.153451507568772,0.172931137449353,0.133971877688192
2020-03-21,"age_20_39","RS",17,0,0,1,0.0219664909034633,0.0303504809624578,0.0135825008444687
2020-03-21,"age_20_39","SC",15,2,0.117647058823529,1,0.0576227563336762,0.0784390064401666,0.0368065062271857
2020-03-21,"age_20_39","SP",266,34,0.113333333333333,3,0.0836961612808999,0.0914767202675591,0.0759156022942407
2020-03-21,"age_40_59","AM",19,11,0.366666666666667,1,0.481082558797527,0.53146394815596,0.430701169439094
2020-03-21,"age_40_59","CE",39,14,0.264150943396226,1,0.287192343992876,0.324262105122519,0.250122582863233
2020-03-21,"age_40_59","MG",34,5,0.128205128205128,1,0.126517534112135,0.154362978127272,0.0986720900969993
2020-03-21,"age_40_59","PE",30,5,0.142857142857143,2,0.222503633703658,0.253718366946167,0.191288900461148
2020-03-21,"age_40_59","PR",30,6,0.166666666666667,1,0.113569222975912,0.146647980053446,0.0804904658983771
2020-03-21,"age_40_59","RJ",88,32,0.266666666666667,2,0.284216441216649,0.308442569291678,0.259990313141619
2020-03-21,"age_40_59","RS",25,1,0.0384615384615385,1,0.0459755674660559,0.0623942472564472,0.0295568876756645
2020-03-21,"age_40_59","SC",22,3,0.12,1,0.115982095329659,0.153627915446667,0.078336275212651
