"week","age_clas","sg_uf","sobre","obitos","let_obs","min","week_uf","fit","upr","lwr"
1,"age_0_19","AL",5,0,0,1,1,0.123940374791577,0.169979641336022,0.077901108247132
1,"age_0_19","AM",37,5,0.119047619047619,1,1,0.144435398963106,0.177664117340321,0.111206680585891
1,"age_0_19","AP",14,0,0,1,1,0.0275951179510197,0.0465926746851305,0.00859756121690894
1,"age_0_19","BA",11,2,0.153846153846154,1,1,0.106650835953851,0.134659381066417,0.078642290841285
1,"age_0_19","CE",19,4,0.173913043478261,1,1,0.198095929091171,0.24207199499644,0.154119863185902
1,"age_0_19","DF",1,0,0,1,1,0.0374758292521783,0.0644279478891337,0.0105237106152229
1,"age_0_19","GO",5,0,0,1,1,0.113277687192451,0.155645188628794,0.0709101857561084
1,"age_0_19","MA",1,1,0.5,1,1,0.186585239192466,0.255685142451534,0.117485335933398
1,"age_0_19","MG",23,2,0.08,1,1,0.0947087654854698,0.122278801894738,0.0671387290762019
1,"age_0_19","MS",2,0,0,1,1,0.0713351986358466,0.132946571359735,0.00972382591195846
1,"age_0_19","MT",5,0,0,1,1,0.0807234363792187,0.115196240757497,0.0462506320009408
1,"age_0_19","PA",14,2,0.125,1,1,0.19256517700385,0.234914349823949,0.150216004183751
1,"age_0_19","PB",3,0,0,1,1,0.0951181424285262,0.134202952839973,0.0560333320170797
1,"age_0_19","PE",1,0,0,1,1,0.164817413634568,0.207697506029713,0.121937321239423
1,"age_0_19","PI",2,0,0,1,1,0.174073062634791,0.24902597556412,0.0991201497054623
1,"age_0_19","PR",15,3,0.166666666666667,1,1,0.0974373897780712,0.128119879076847,0.0667549004792955
1,"age_0_19","RJ",25,1,0.0384615384615385,1,1,0.120754216722077,0.148395852893057,0.0931125805510972
1,"age_0_19","RN",2,0,0,1,1,0.131146776548734,0.194627552876288,0.0676660002211792
1,"age_0_19","RO",3,1,0.25,1,1,0.323998169977644,0.438749949199179,0.20924639075611
1,"age_0_19","RS",10,0,0,1,1,0.119701847548104,0.159052692506441,0.0803510025897667
1,"age_0_19","SC",13,0,0,1,1,0.114517511339405,0.157273019101716,0.071762003577094
1,"age_0_19","SE",2,2,0.5,1,1,0.149007816763496,0.199524106011606,0.098491527515385
1,"age_0_19","SP",62,3,0.0461538461538462,1,1,0.0624325579221563,0.0752147709627555,0.049650344881557
1,"age_0_19","TO",3,1,0.25,1,1,0.118326449740331,0.195837086167491,0.0408158133131718
1,"age_20_39","AC",6,0,0,1,1,0.158912127256311,0.211770074074412,0.106054180438209
1,"age_20_39","AL",14,3,0.176470588235294,1,1,0.163567316711672,0.194395523014483,0.132739110408861
1,"age_20_39","AM",194,88,0.312056737588652,1,1,0.250200395961996,0.27064341251252,0.229757379411472
1,"age_20_39","AP",7,1,0.125,1,1,0.150830842127758,0.20106519154807,0.100596492707447
1,"age_20_39","BA",58,10,0.147058823529412,1,1,0.198071042986888,0.217489201244663,0.178652884729112
1,"age_20_39","CE",31,11,0.261904761904762,1,1,0.276405835321828,0.300097704837028,0.252713965806628
1,"age_20_39","DF",29,0,0,1,1,0.144815414840347,0.166918121628015,0.122712708052679
1,"age_20_39","ES",6,4,0.4,1,1,0.36636685492136,0.426039013056664,0.306694696786056
1,"age_20_39","GO",68,6,0.0810810810810811,1,1,0.208481083983549,0.227706469404837,0.189255698562261
1,"age_20_39","MA",7,2,0.222222222222222,1,1,0.230020513078136,0.268941503709902,0.19109952244637
1,"age_20_39","MG",191,19,0.0904761904761905,1,1,0.178110234624888,0.191513141968801,0.164707327280974
1,"age_20_39","MS",27,3,0.1,1,1,0.18494732645055,0.215052801610516,0.154841851290585
1,"age_20_39","MT",35,3,0.0789473684210526,1,1,0.0971947996045534,0.115493776829754,0.0788958223793527
1,"age_20_39","PA",45,8,0.150943396226415,1,1,0.275030888929925,0.301445901658222,0.248615876201628
1,"age_20_39","PB",22,0,0,1,1,0.21009217319247,0.238375688118869,0.181808658266072
1,"age_20_39","PE",6,2,0.25,1,1,0.250621162969416,0.281721794174991,0.219520531763842
1,"age_20_39","PI",7,1,0.125,1,1,0.25035161304623,0.296568336459107,0.204134889633354
1,"age_20_39","PR",111,14,0.112,1,1,0.15911477030945,0.173534576686607,0.144694963932293
1,"age_20_39","RJ",87,18,0.171428571428571,1,1,0.269369724348842,0.288154185506427,0.250585263191257
1,"age_20_39","RN",15,3,0.166666666666667,1,1,0.271684862991214,0.312181196568305,0.231188529414123
1,"age_20_39","RO",12,6,0.333333333333333,1,1,0.413042134609551,0.461086758151517,0.364997511067586
1,"age_20_39","RS",74,10,0.119047619047619,1,1,0.209070027222207,0.225539388731606,0.192600665712808
1,"age_20_39","SC",65,6,0.0845070422535211,1,1,0.151504721133249,0.168263235143899,0.134746207122598
1,"age_20_39","SE",5,3,0.375,1,1,0.278527261543706,0.329281057745732,0.227773465341679
1,"age_20_39","SP",552,68,0.109677419354839,1,1,0.141864140624796,0.149708984055381,0.134019297194212
1,"age_20_39","TO",4,1,0.2,1,1,0.333976137075342,0.406133801910492,0.261818472240192
1,"age_40_59","AC",20,4,0.166666666666667,1,1,0.295156961566686,0.351538186492552,0.23877573664082
